"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032612","interleukin-1 production","11/502","97/13158",0.11340206185567,2.97239906353966,3.88306359172839,0.00114655629780691,0.0225249174392009,0.0178177215090861,"CAMP/IGF1/CEACAM1/CARD16/IL1R2/PML/IFNG/AZU1/AIM2/IL10/IFI16",11
"GO:0032652","regulation of interleukin-1 production","11/502","97/13158",0.11340206185567,2.97239906353966,3.88306359172839,0.00114655629780691,0.0225249174392009,0.0178177215090861,"CAMP/IGF1/CEACAM1/CARD16/IL1R2/PML/IFNG/AZU1/AIM2/IL10/IFI16",11
"GO:0032692","negative regulation of interleukin-1 production","6/502","32/13158",0.1875,4.91459163346614,4.41547383515502,0.00116381157370932,0.0226055603978115,0.0178815119217289,"IGF1/CEACAM1/CARD16/IL1R2/PML/IL10",6
"GO:2000243","positive regulation of reproductive process","6/502","32/13158",0.1875,4.91459163346614,4.41547383515502,0.00116381157370932,0.0226055603978115,0.0178815119217289,"INHBB/RAD51AP1/CDC25C/RETN/INHBA/CDC25A",6
"GO:0050727","regulation of inflammatory response","23/502","300/13158",0.0766666666666667,2.0095219123506,3.52266812374005,0.00118844670385819,0.0227958831061912,0.0180320615085995,"GPER1/IGF1/S100A8/ELANE/CCR1/IL1RN/PPARG/IL1R2/GBP1/S100A12/CASP5/MMP8/ZBP1/USP18/IFNG/TNFAIP6/FFAR3/IL18R1/AIM2/IFI35/IL10/IFI16/MDK",23
"GO:0002761","regulation of myeloid leukocyte differentiation","10/502","83/13158",0.120481927710843,3.15797052752844,3.92776747281345,0.00119350173330844,0.0227958831061912,0.0180320615085995,"C1QC/CEACAM1/CCR1/LTF/LIF/INHBA/IFNG/TNFAIP6/IRF7/ERFE",10
"GO:2000241","regulation of reproductive process","10/502","83/13158",0.120481927710843,3.15797052752844,3.92776747281345,0.00119350173330844,0.0227958831061912,0.0180320615085995,"IGF1/INHBB/RAD51AP1/CDC25C/RETN/INHBA/CDC20/TTK/CDC25A/ASPM",10
"GO:0006935","chemotaxis","24/502","319/13158",0.0752351097178683,1.97199915073249,3.50007773891706,0.00121464454746596,0.0228610775339676,0.0180836317823285,"SEMA3B/CCL2/S100A8/ANOS1/CHGA/ELANE/CCR1/DEFA4/S100A12/CCL8/SEMA3G/DEFA1B/SEMA6B/TNFAIP6/AZU1/CTSG/PDGFRB/HMGB2/CXCL10/DOCK4/IL10/DEFA1/CXCL11/MDK",24
"GO:0042330","taxis","24/502","319/13158",0.0752351097178683,1.97199915073249,3.50007773891706,0.00121464454746596,0.0228610775339676,0.0180836317823285,"SEMA3B/CCL2/S100A8/ANOS1/CHGA/ELANE/CCR1/DEFA4/S100A12/CCL8/SEMA3G/DEFA1B/SEMA6B/TNFAIP6/AZU1/CTSG/PDGFRB/HMGB2/CXCL10/DOCK4/IL10/DEFA1/CXCL11/MDK",24
"GO:0035458","cellular response to interferon-beta","5/502","22/13158",0.227272727272727,5.95708076783774,4.63433931365624,0.00121686363837,0.0228610775339676,0.0180836317823285,"OAS1/PNPT1/AIM2/IFI16/TRIM6",5
